Reaction, colour
C=O.O=C[C@@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)C(O)(CO)CO.[OH-]>>O=CO.OC[C@@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@@H](O)CO.[OH-]>>O=CO.OCC(O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@](O)(CO)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)C(O)(CO)[C@@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@](O)(CO)[C@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@](O)(CO)[C@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@@](O)(CO)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)C(O)(CO)[C@@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@@](O)(CO)[C@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@](O)(CO)[C@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)C(O)[C@@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@@H](O)C(O)(CO)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)C(O)[C@@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)[C@H](O)C(O)(CO)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@H](O)C(O)(CO)CO.[OH-]>>O=CO.OC[C@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@H](O)CO.[OH-]>>O=CO.OCC(O)CO,#c9bf8b
C=O.O=CC(O)(CO)C(O)(CO)CO.[OH-]>>O=CO.OCC(O)(CO)C(O)(CO)CO,#c9bf8b
C=O.O=CC(O)(CO)C(O)C(O)CO.[OH-]>>O=CO.OCC(O)C(O)C(O)(CO)CO,#c9bf8b
C=O.O=CC(O)(CO)C(O)CO.[OH-]>>O=CO.OCC(O)C(O)(CO)CO,#c9bf8b
C=O.O=CC(O)(CO)CO.[OH-]>>O=CO.OCC(O)(CO)CO,#c9bf8b
C=O.O=CC(O)(CO)CO.[OH-]>>O=CO.OCC(O)(CO)CO,#c9bf8b
C=O.O=CC(O)C(O)(CO)C(O)CO.[OH-]>>O=CO.OCC(O)C(O)(CO)C(O)CO,#c13737
